source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0022613,ribonucleoprotein complex biogenesis,0.000915300164268735,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]",310,39,8,13630,0.20512820512820512,0.025806451612903226,query_1,['GO:0044085']
GO:BP,GO:0042254,ribosome biogenesis,0.0022614694790183596,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]",246,39,7,13630,0.1794871794871795,0.028455284552845527,query_1,['GO:0022613']
GO:BP,GO:0044085,cellular component biogenesis,0.007610840716083238,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]",854,39,11,13630,0.28205128205128205,0.01288056206088993,query_1,['GO:0071840']
GO:BP,GO:0042273,ribosomal large subunit biogenesis,0.03252718503022225,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a large ribosomal subunit; includes transport to the sites of protein synthesis."" [GOC:jl]",80,39,4,13630,0.10256410256410256,0.05,query_1,"['GO:0022613', 'GO:0042254']"
