source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0016814,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines",0.036473941466749676,True,"""Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a cyclic amidine, a compound of the form R-C(=NH)-NH2."" [EC:3.5.4.-]",18,23,2,17687,0.08695652173913043,0.1111111111111111,query_1,['GO:0016810']
GO:MF,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",0.03902998741131151,True,"""Catalysis of the hydrolysis of any carbon-nitrogen bond, C-N, with the exception of peptide bonds."" [EC:3.5.-.-]",97,23,3,17687,0.13043478260869565,0.030927835051546393,query_1,['GO:0016787']
