source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0010005,"cortical microtubule, transverse to long axis",0.007925677884719306,True,"""Arrays of microtubules underlying and connected to the plasma membrane, in the cortical cytosol, oriented mainly with their axes transverse to the long axis of the cell (and root in plants). In plants it influences the direction of cellulose microfibril deposition."" [ISBN:0943088399]",4,37,2,9569,0.05405405405405406,0.5,query_1,['GO:0055028']
GO:CC,GO:0055028,cortical microtubule,0.01317726071531798,True,"""Arrays of microtubules underlying and connected to the plasma membrane in the cortical cytosol."" [GOC:mtg_sensu]",5,37,2,9569,0.05405405405405406,0.4,query_1,"['GO:0005881', 'GO:0030981']"
GO:CC,GO:0030981,cortical microtubule cytoskeleton,0.01971771617234106,True,"""The portion of the microtubule cytoskeleton that lies just beneath the plasma membrane."" [GOC:mah]",6,37,2,9569,0.05405405405405406,0.3333333333333333,query_1,"['GO:0015630', 'GO:0030863']"
GO:MF,GO:0022857,transmembrane transporter activity,0.02031024234233226,True,"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]",1253,48,12,17687,0.25,0.009577015163607342,query_1,['GO:0005215']
GO:MF,GO:0005215,transporter activity,0.02583642470335253,True,"""Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, accross or in between cells."" [GOC:ai, GOC:dgf]",1285,48,12,17687,0.25,0.00933852140077821,query_1,['GO:0003674']
GO:CC,GO:0071944,cell periphery,0.026798293687372507,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",1019,37,12,9569,0.32432432432432434,0.011776251226692836,query_1,['GO:0110165']
GO:CC,GO:0005881,cytoplasmic microtubule,0.02753753751641915,True,"""Any microtubule in the cytoplasm of a cell."" [GOC:mah]",7,37,2,9569,0.05405405405405406,0.2857142857142857,query_1,"['GO:0005737', 'GO:0005874']"
GO:CC,GO:0030863,cortical cytoskeleton,0.03662726884206978,True,"""The portion of the cytoskeleton that lies just beneath the plasma membrane."" [GOC:mah]",8,37,2,9569,0.05405405405405406,0.25,query_1,"['GO:0005856', 'GO:0005938']"
