source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0042651,thylakoid membrane,0.008090944816194191,True,"""The pigmented membrane of any thylakoid."" [GOC:jl, GOC:pr]",205,84,9,9569,0.10714285714285714,0.04390243902439024,query_1,['GO:0034357']
GO:CC,GO:0042170,plastid membrane,0.01762665139808403,True,"""Either of the lipid bilayers that surround a plastid and form the plastid envelope."" [GOC:mah]",227,84,9,9569,0.10714285714285714,0.039647577092511016,query_1,"['GO:0009526', 'GO:0031090']"
GO:CC,GO:0034357,photosynthetic membrane,0.03516413080663535,True,"""A membrane enriched in complexes formed of reaction centers, accessory pigments and electron carriers, in which photosynthetic reactions take place."" [GOC:ds, GOC:mah]",249,84,9,9569,0.10714285714285714,0.03614457831325301,query_1,"['GO:0009579', 'GO:0016020']"
GO:CC,GO:0009526,plastid envelope,0.041227916816594365,True,"""The double lipid bilayer enclosing a plastid and separating its contents from the rest of the cytoplasm; includes the intermembrane space."" [GOC:jy]",311,84,10,9569,0.11904761904761904,0.03215434083601286,query_1,"['GO:0009536', 'GO:0031967']"
